% Model,wave_50m.mph
% Version,COMSOL 5.6.0.341
% Date,"Dec 9 2021, 09:37"
% Table,表格 1 - 点计算 1
% 时间 (s),"压力 (Pa), 点: 3","压力 (Pa), 点: 4","压力 (Pa), 点: 5","压力 (Pa), 点: 6","压力 (Pa), 点: 7","压力 (Pa), 点: 8","压力 (Pa), 点: 9","压力 (Pa), 点: 10","压力 (Pa), 点: 11","压力 (Pa), 点: 12","压力 (Pa), 点: 13","压力 (Pa), 点: 14","压力 (Pa), 点: 15","压力 (Pa), 点: 16","压力 (Pa), 点: 19","压力 (Pa), 点: 20","压力 (Pa), 点: 21","压力 (Pa), 点: 22","压力 (Pa), 点: 23","压力 (Pa), 点: 24","压力 (Pa), 点: 25","压力 (Pa), 点: 26","压力 (Pa), 点: 27","压力 (Pa), 点: 28","压力 (Pa), 点: 29","压力 (Pa), 点: 30","压力 (Pa), 点: 31","压力 (Pa), 点: 34","压力 (Pa), 点: 35","压力 (Pa), 点: 36","压力 (Pa), 点: 37","压力 (Pa), 点: 38","压力 (Pa), 点: 39","压力 (Pa), 点: 40","压力 (Pa), 点: 41","压力 (Pa), 点: 42","压力 (Pa), 点: 43","压力 (Pa), 点: 44","压力 (Pa), 点: 45","压力 (Pa), 点: 46","压力 (Pa), 点: 47"
0,5.579499975750437E-16,9.636525725117708E-17,1.662802216919688E-17,2.8655026183072293E-18,4.927588986970099E-19,8.422505328625746E-20,1.42321560604371E-20,2.3872250322832E-21,4.0231880621591037E-22,6.848997046189444E-23,1.1727453663230224E-23,2.012101503670714E-24,3.4503512101915736E-25,5.902271692089446E-26,1.0078394916820095E-26,1.726532119650979E-27,2.988678818837725E-28,5.246142117096559E-29,9.232192065128612E-30,1.605785503058404E-30,2.7610952244238745E-31,4.736335361456034E-32,8.1346807373282E-33,1.3993034723923314E-33,2.411598461209997E-34,4.1632482031445964E-35,7.18951032297217E-36,1.2400623020251113E-36,2.132794782691571E-37,3.641606801015644E-38,6.140817925493967E-39,1.0308661744111431E-39,1.7353369328705419E-40,2.952135013197283E-41,5.056462544698924E-42,8.673302044304601E-43,1.4855696717928842E-43,2.534350954102271E-44,4.3059668139036476E-45,7.655346788904348E-46,1.286434789117823E-46
0.001,8.188552414392312E-16,9.384031391054397E-17,8.654735314287943E-18,2.962034243352887E-19,-1.4108915530611585E-19,-5.386333796456714E-20,-1.356981558848989E-20,-2.9606466111185895E-21,-5.99368697172646E-22,-1.1745717887075742E-22,-2.2397234662376308E-23,-4.188720607307942E-24,-7.661955445615597E-25,-1.3791748218252921E-25,-2.4490625353673823E-26,-4.3131549578268006E-27,-7.593873655154117E-28,-1.3453268500526145E-28,-2.362567551083779E-29,-4.080931019091318E-30,-6.902874503746211E-31,-1.15417885570056E-31,-1.9211379534222895E-32,-3.179932788269964E-33,-5.2084835752012675E-34,-8.474983221740593E-35,-1.357481983891706E-35,-2.1500305473776598E-36,-3.339171831672477E-37,-5.028047753232316E-38,-7.368854354517222E-39,-1.0304047979887695E-39,-1.378243528100061E-40,-1.6997695620774101E-41,-1.792322392727544E-42,-1.0233938239715629E-43,1.8468901778930413E-44,9.320358062030501E-45,2.6901950836724388E-45,5.995276328558888E-46,1.3282667419736514E-46
0.002,1.1993365929751955E-15,3.991727003500593E-17,-1.3196470651033063E-17,-4.433868144245056E-18,-9.450444315662343E-19,-1.6428549437853763E-19,-2.4246267491238666E-20,-2.9958889189581797E-21,-2.4759055920450247E-22,1.1340631913939535E-23,1.253212347421471E-23,4.1115684744597695E-24,1.059701100677727E-24,2.4221949912372717E-25,5.156887477519895E-26,1.0522684306867875E-26,2.098878908040007E-27,4.131071642598079E-28,7.976756739727831E-29,1.488534121659968E-29,2.6983892758596336E-30,4.804387907554672E-31,8.430904904442372E-32,1.4602659268507965E-32,2.5004399821827857E-33,4.2202603577556315E-34,7.016784172058024E-35,1.1426640578243301E-35,1.8157204042948095E-36,2.7935410289497606E-37,4.1009591385192393E-38,5.765059892447535E-39,7.584201157212647E-40,8.908046751896737E-41,7.696634675822472E-42,-7.472926499075509E-44,-2.6886865675173973E-43,-9.216915483983148E-44,-2.3811732158972417E-44,-5.2506065806353116E-45,-1.131200376043173E-45
0.003,1.7530517607144751E-15,1.0518090388111173E-17,-1.5785343448989584E-17,-1.8478967780643535E-18,2.5518597760389565E-19,1.7980639198869638E-19,5.515780379524447E-20,1.310509581389387E-20,2.7477612308181495E-21,5.294392485643394E-22,9.49260264387518E-23,1.5734140852481687E-23,2.3763943931092763E-24,3.1220598001536866E-25,3.0938176034874776E-26,4.849999603259529E-28,-9.10318304318839E-28,-3.6147550271212994E-28,-1.0258492491685831E-28,-2.49361679224758E-29,-5.5137417808248265E-30,-1.153816357530429E-30,-2.329033851153424E-31,-4.570945624957711E-32,-8.765229474460422E-33,-1.648047901577746E-33,-3.0382871588532807E-34,-5.493061722110513E-35,-9.727798797968513E-36,-1.6799625432244598E-36,-2.8181087242276587E-37,-4.6210477983066103E-38,-7.456490557498625E-39,-1.1864038386888931E-39,-1.8442984066759793E-40,-2.756403788975347E-41,-3.883661590555194E-42,-4.964782015655962E-43,-5.23545937970227E-44,-4.2487208764436786E-45,3.778888054968707E-46
0.004,2.5572185934743702E-15,5.530214953005311E-17,9.615330543540324E-18,6.5652987416408326E-18,2.04393825898265E-18,4.3563921853089435E-19,6.952625796940345E-20,7.520981916759045E-21,-8.3970890989091E-24,-3.0877325839151984E-22,-1.1705360616102534E-22,-3.22273264043088E-23,-7.616328227990496E-24,-1.630677103883717E-24,-3.244423090318506E-25,-6.0997146941879E-26,-1.094029602199417E-26,-1.8646636903813764E-27,-2.9374053101135556E-28,-4.097661910781687E-29,-4.5996126586532746E-30,-2.546247452918207E-31,6.674735931588782E-32,3.3431443991663354E-32,9.979967396213371E-33,2.5087552994330697E-33,5.755202898938631E-34,1.242690372566622E-34,2.563206741881285E-35,5.07473707852833E-36,9.654515581083138E-37,1.7872027752424234E-37,3.255529851801709E-38,5.885760567539044E-39,1.0525242577127962E-39,1.851166420009341E-40,3.1897499308705624E-41,5.3638424735684003E-42,8.783993515588224E-43,1.4455708430025608E-43,2.2259853052536474E-44
0.005,3.722718347660723E-15,1.5773845668290114E-16,3.7046840842396933E-17,9.358138002670617E-18,1.1522758213579055E-18,-9.322318899520537E-20,-9.227190216150299E-20,-3.052398308270666E-20,-7.557618343630102E-21,-1.5862357194233465E-21,-2.882585974041745E-22,-4.42175872743344E-23,-5.066497514343723E-24,-1.5115663922060948E-25,1.4182772485149765E-25,5.976342840321721E-26,1.7406312519047E-26,4.38925409047144E-27,1.0046822147287238E-27,2.112196460354051E-28,4.1373893613475474E-29,7.687588753612465E-30,1.3628341197681415E-30,2.2969247341082866E-31,3.639735209558475E-32,5.285880540377283E-33,6.6027703993521375E-34,5.653486970526866E-35,-2.4207188450169134E-36,-2.8328982399710057E-36,-9.323684517099144E-37,-2.3917484521383054E-37,-5.5190244522443E-38,-1.2073094680497666E-38,-2.5422671364691213E-39,-5.1784813122783644E-40,-1.0234186632323874E-40,-1.965162748863434E-41,-3.676932067435553E-42,-6.788572774616122E-43,-1.2111858253161163E-43
0.006,5.4084331533481E-15,2.8034933170987064E-16,4.288830619537186E-17,2.0077810885053108E-18,-2.006465505343662E-18,-8.278440251156158E-19,-1.9641196566747438E-19,-3.2599411500593293E-20,-3.0338740906162716E-21,3.728704464869137E-22,2.918819092135853E-22,9.838623058864339E-23,2.5653822810066725E-23,5.752672152176057E-24,1.1521242056234654E-24,2.090601700595427E-25,3.4012018410654873E-26,4.639013574983102E-27,3.996819571665525E-28,-3.209244557750858E-29,-2.74194005600819E-29,-9.086575911851687E-30,-2.3916188278682938E-30,-5.6103212010160984E-31,-1.221750997086054E-31,-2.514676133070794E-32,-4.930138861491475E-33,-9.232388145744968E-34,-1.6494226490932973E-34,-2.7916235495105484E-35,-4.435979420241855E-36,-6.5834635081145675E-37,-8.885611262660248E-38,-9.94035988073461E-39,-5.626446774185196E-40,1.4244204400532892E-40,7.230599020290502E-41,2.1571938819709615E-41,5.38691411329534E-42,1.2103205484072017E-42,2.5825277440754222E-43
0.007,7.841541722585354E-15,4.2638678163216736E-16,3.427517738056247E-17,-6.829170871025815E-18,-3.4234599904299472E-18,-5.905997973762306E-19,4.783517887691429E-21,3.68623707048138E-20,1.449097449659536E-20,3.922885417866122E-21,8.494414354342047E-22,1.4885518784757046E-22,1.9174970014364184E-23,7.979495778087698E-25,-5.31971636337129E-25,-2.4362352956760002E-25,-7.357705288962858E-26,-1.8766493255110945E-26,-4.2470927488303236E-27,-8.641753094470543E-28,-1.593842238149164E-28,-2.680526842429051E-29,-4.018086815207036E-30,-4.939821842193194E-31,-3.337912021337281E-32,6.229886219515641E-33,3.630784684073153E-33,1.1360021147856488E-33,2.913020847906021E-34,6.667629355282473E-35,1.405720513325054E-35,2.8052641501146893E-36,5.3972374770639885E-37,1.0118271523027046E-37,1.842338568314538E-38,3.232507293893841E-39,5.419731459352898E-40,8.575811178904835E-41,1.256095148336571E-41,1.6993470817829463E-42,1.775761583987787E-43
0.008,1.1346185862870085E-14,6.410946719567674E-16,3.1673431109735635E-17,-8.362581556740389E-18,-1.2695665961087155E-18,5.469379146094748E-19,3.125331250585635E-19,8.844304827307179E-20,1.685958644006901E-20,1.8207509512023027E-21,-1.8532673268726405E-22,-1.7255284420418558E-22,-6.060054052470947E-23,-1.5966817794670196E-23,-3.536098313812118E-24,-6.804908079499111E-25,-1.120749880472275E-25,-1.401781113103467E-26,-5.4253363704601945E-28,3.9221875453958956E-28,1.7311864717249458E-28,5.054647116465537E-29,1.247987347370828E-29,2.780225810900143E-30,5.728068464829765E-31,1.1007079281870731E-31,1.9687431045259937E-32,3.236400187189557E-33,4.730594370040614E-34,5.617383292225002E-35,3.6430858902328524E-36,-6.459256694294054E-37,-3.677909102640043E-37,-1.1464247009443175E-37,-2.9714446903126575E-38,-6.967996230362479E-39,-1.5245086165926046E-39,-3.1568666251149188E-40,-6.247394010748449E-41,-1.19411159047331E-41,-2.1880352763414135E-42
0.009000000000000001,1.6383870626526548E-14,9.674183596693065E-16,3.908104339837857E-17,-4.004197077938397E-18,2.1080976718436847E-18,1.3595313203377079E-18,3.271024298592778E-19,2.846853331697809E-20,-1.0378034537595203E-20,-6.095675962587365E-21,-1.9187347149131148E-21,-4.481184705053036E-22,-8.03744658903048E-23,-9.646620693984705E-24,7.016812627495467E-26,4.94396613446343E-25,1.985643777001646E-25,5.766071270168698E-26,1.3979426278271593E-26,2.9374878031696607E-27,5.40635116021733E-28,8.663715841742546E-29,1.1227805420590394E-29,7.919753146399808E-31,-1.5176925503916837E-31,-9.078046180303906E-32,-2.8883904355591905E-32,-7.475671814466362E-33,-1.7189810049364178E-33,-3.613998626759791E-34,-7.043454847586487E-35,-1.2935946351092742E-35,-2.2562057726827536E-36,-3.7176662050097223E-37,-5.628129210606441E-38,-7.31630421327798E-39,-6.521638523180039E-40,2.6597597160999777E-41,3.384856875853882E-41,1.139114011978164E-41,3.042466750476021E-42
